THE_TE_UID,TERM,TERM_GD,POS_GD,KEYWORDS_GD,INDEX_TERM,SCOPE_NOTE,SCOPE_NOTE_GD,STATUS,ORIGIN,PROPOSED,WHEN_PROPOSED,ACCEPTED,DATE_ACCEPTED,COMMENTS,LIST_UID,ENTERED_DT,ENTERED_BY,UPDATED_DT,UPDATED_BY,SYNONYMS_GD
501680,FIRE CLAY MINE,,,,Y,A site where fire clay is mined from the ground.,,Y,RCAHMS,,,,,,1,12/04/2007 11:38,SUSANC,16/08/2007 14:51,ANGELAG,
502890,ROMAN ROAD,,,,Y,A metalled road built by the Romans for the movement of military personnel and supplies.,,Y,RCAHMS,,,,,,1,21/08/2007 13:00,ANGELAG,21/08/2007 13:13,ANGELAG,
501805,TERM PENDING,,,,Y,Site awaiting classification. Use only for sites unclassified at SubClass level before the Thesaurus Migration System Update.,,Y,RCAHMS,,,,,,1,19/04/2007 10:17,LEANNEM,31/08/2007 10:48,ANGELAG,
504243,SCRAP YARD,,,,Y,A place where scrap metal is collected.,,Y,EH,,,,,,1,30/04/2009 13:34,LEANNEM,30/04/2009 13:34,LEANNEM,
504244,BUILDING FOUNDATIONS,,,,Y,Non-preferred term. Use BUILDING.,,N,,,,,,,1,30/04/2009 13:48,LEANNEM,30/04/2010 16:04,LEANNEM,
504245,TRAMWAY POWER STANDARDS,,,,Y,"Metal posts erected to support tramway overhead power lines, typically set in pairs across the street or tram reservation.",,Y,RCAHMS/Bob Mowat,Bob Mowat,30/04/2009 00:00,Leanne McCafferty,30/04/2009 00:00,,1,30/04/2009 16:23,LEANNEM,30/04/2009 16:24,LEANNEM,
504620,ROCKERY,,,,Y,A pile of rough stones and soil used for the growing of ferns and other plants.,,Y,EH,Iain Anderson,06/08/2009 00:00,Leanne McCafferty,06/08/2009 00:00,,1,06/08/2009 09:49,LEANNEM,06/08/2009 09:50,LEANNEM,
504660,DECK ACCESS BLOCK,,,,Y,"Block of flats incorporating broad, street-width balconies to give access to dwellings and connect to other blocks.",,Y,EH,Miles Glendinning,,Peter McKeague,,Scope note from Miles Glendinning.,1,14/08/2009 10:09,LEANNEM,23/11/2009 11:47,LEANNEM,
505521,TOBACCO WAREHOUSE,,,,Y,"A building designed specifically for handling tobacco. This may be a bonded warehouse containing facilities for removing tobacco leaves from the hogsheads in which they were imported, and pressing them.",,Y,EH,Lynn Kilpatrick,14/10/2010 00:00,Leanne McCafferty,14/10/2010 00:00,,1,14/10/2010 15:02,LEANNEM,14/10/2010 15:03,LEANNEM,
503802,PREFAB,,,,Y,Non-preferred term. Use PREFABRICATED HOUSE.,,N,,,,,,,1,17/12/2008 10:02,LEANNEM,24/07/2009 12:51,ANGELAG,
503808,CHINESE BRIDGE,,,,Y,Non-preferred term. Use ORNAMENTAL BRIDGE.,,N,,,,,,,1,17/12/2008 13:19,LEANNEM,24/07/2009 12:47,ANGELAG,
503807,ORNAMENTAL BRIDGE,,,,Y,A bridge built to enhance or compliment the surrounding landscape. Mainly found on estates or in parkland and usually 18th and 19th century.,,Y,EH,,,,,,1,17/12/2008 13:08,LEANNEM,17/12/2008 13:12,LEANNEM,
503809,HOLIDAY CAMP,,,,Y,Purposely built camp with recreational facilities and individual chalets for accommodation.,,Y,EH,,,,,,1,17/12/2008 13:36,LEANNEM,17/12/2008 13:36,LEANNEM,
503810,HOLIDAY CENTRE,,,,Y,A place with organized amusements for people on holiday.,,Y,EH,,,,,,1,17/12/2008 13:37,LEANNEM,17/12/2008 13:37,LEANNEM,
503840,CARAVAN PARK,,,,Y,A camping place set aside for the use of caravans.,,Y,EH,,,,,,1,18/12/2008 09:35,LEANNEM,18/12/2008 09:36,LEANNEM,
503841,RAILWAY OFFICE,,,,Y,A building or room where railway tickets may be bought and administrative duties associated with a railway are conducted.,,Y,EH,,,,,,1,18/12/2008 09:43,LEANNEM,18/12/2008 09:44,LEANNEM,
503842,GOODS STATION OFFICE,,,,Y,Non-preferred term. Use RAILWAY OFFICE.,,N,,,,,,,1,18/12/2008 09:46,LEANNEM,24/07/2009 10:35,ANGELAG,
503843,GOODS OFFICE,,,,Y,Non-preferred term. Use RAILWAY OFFICE.,,N,,,,,,,1,18/12/2008 09:46,LEANNEM,24/07/2009 10:35,ANGELAG,
503844,PORTERS OFFICE,,,,Y,Non-preferred term. Use RAILWAY OFFICE.,,N,,,,,,,1,18/12/2008 09:47,LEANNEM,24/07/2009 10:36,ANGELAG,
503845,PANELS OFFICE,,,,Y,Non-preferred term. Use RAILWAY OFFICE.,,N,,,,,,,1,18/12/2008 09:47,LEANNEM,24/07/2009 10:36,ANGELAG,
503960,BARKING HOUSE,,,,Y,A building used for the treatment of fishing nets.,,Y,RCAHMS,Leanne McCafferty,06/02/2009 00:00,Leanne McCafferty,06/02/2009 00:00,,1,06/02/2009 14:53,LEANNEM,05/04/2012 12:17,RC_ADMIN,
504220,RIVER,,,,Y,"A natural stream of water, larger than a stream.",,Y,RCAHMS,,,,,,1,28/04/2009 12:05,LEANNEM,28/04/2009 12:06,LEANNEM,
504221,DIORAMA,,,,Y,A building in which a view is projected onto a wall by means of a lens.,,Y,EH,,,,,,1,28/04/2009 14:54,LEANNEM,28/04/2009 14:54,LEANNEM,
504222,RADIO BROADCASTING STUDIO,,,,Y,A place where radio programmes are produced and broadcast.,,Y,EH,,,,,,1,28/04/2009 14:59,LEANNEM,28/04/2009 15:00,LEANNEM,
504223,DRY SKI SLOPE,,,,Y,An artificial surface on sloping ground used for skiing.,,,,,,,,,,,,,,
"#Y""",Highland,,,,,,,,,,1,28/04/2009 16:28,LEANNEM,28/04/2009 16:28,LEANNEM,,,,,
504224,DRY SLOPE,,,,Y,Non-preferred term. Use DRY SKI SLOPE,,N,,,,,,,1,28/04/2009 16:29,LEANNEM,28/04/2009 16:29,LEANNEM,
504225,ARTIFICIAL SKI SLOPE,,,,Y,Non-preferred term. Use DRY SKI SLOPE.,,N,,,,,,,1,28/04/2009 16:29,LEANNEM,24/07/2009 11:23,ANGELAG,
504226,NET TUB,,,,Y,Non-preferred term. Use BARKING POT.,,N,,,,,,,1,28/04/2009 16:44,LEANNEM,24/07/2009 12:50,ANGELAG,
504460,BETTING OFFICE,,,,Y,An establishment where wagering and the placing of bets takes place.,,Y,EH,,,,,,1,08/07/2009 09:29,LEANNEM,08/07/2009 09:30,LEANNEM,
504461,BEAUTY SALON,,,,Y,An establishment where beauty treatments and associated therapies are provided by professional practitioners.,,Y,EH,,,,,,1,08/07/2009 09:31,LEANNEM,08/07/2009 09:32,LEANNEM,
504462,BEAUTY PARLOUR,,,,Y,Non-preferred term. Use BEAUTY SALON.,,N,EH,,,,,,1,08/07/2009 09:32,LEANNEM,23/07/2009 11:18,ANGELAG,
504463,FURNITURE SHOWROOM,,,,Y,"A room or suite of rooms, often open plan, specifically used for the display and sale of furniture and other related materials.",,Y,EH,,,,,Edited EH SN ARG 24 July 2009.,1,08/07/2009 11:26,LEANNEM,24/07/2009 14:25,ANGELAG,
504464,LEGAL OFFICE,,,,Y,"A building housing the services of professionals with an expert knowledge of the law such as the offices of solicitors, barristers and lawyers.",,Y,EH,,,,,,1,08/07/2009 12:14,LEANNEM,08/07/2009 12:14,LEANNEM,
504465,SOLICITORS OFFICE,,,,Y,Non-preferred term. Use LEGAL OFFICE.,,N,,,,,,,1,08/07/2009 12:16,LEANNEM,24/07/2009 10:37,ANGELAG,
504466,LAWYERS OFFICE,,,,Y,Non-preferred term. Use LEGAL OFFICE.,,N,,,,,,,1,08/07/2009 12:16,LEANNEM,24/07/2009 10:36,ANGELAG,
503540,SENTRY POST,,,,Y,A building or site used for the accommodation of military or civilian personnel controlling access to and from military or government property.,,Y,RCAHMS,John Sherriff,02/09/2008 00:00,Leanne McCafferty,03/09/2008 00:00,,1,03/09/2008 11:52,LEANNEM,06/10/2008 15:34,LEANNEM,
504441,TAKEAWAY,,,,Y,An establishment for the preparation and selling of food to be consumed off the premises.,,Y,EH,Lynn Kilpatrick,,,,Added ARG 30 June 2009.,1,30/06/2009 10:20,ANGELAG,30/06/2009 10:25,ANGELAG,
504442,SEMI DETACHED HOUSE,,,,Y,A house joined to another to form one building.,,Y,EH,Lynn Kilpatrick,,,,Added ARG 30 June 2009,1,30/06/2009 14:37,ANGELAG,30/06/2009 14:40,ANGELAG,
504443,FLORIST,,,,Y,A shop displaying and selling flowers and ornamental plants.,,Y,RCAHMS,Lynn Kilpatrick,,,,Added ARG 30 June 2009,1,30/06/2009 14:45,ANGELAG,30/06/2009 14:53,ANGELAG,
504640,DETACHED HOUSE,,,,Y,"A free-standing house, not joined to another on either side.",,Y,EH,Lynn Kilpatrick,05/08/2009 00:00,Angela Gannon,06/08/2009 00:00,SN copied from EH,1,06/08/2009 14:06,ANGELAG,06/08/2009 14:08,ANGELAG,
504641,LODGING HOUSE,,,,Y,Purpose built workers' accommodation comprising single rooms with communal eating and washing facilities. Usually for short stay accommodation only.,,Y,EH,Lynn Kilpatrick,05/08/2009 00:00,Angela Gannon,06/08/2009 00:00,SN copied from EH,1,06/08/2009 14:13,ANGELAG,06/08/2009 14:15,ANGELAG,
504642,TRAVEL AGENTS,,,,Y,"A commercial premises offering advice on destinations and other travel arrangements, and where travellers may purchase flights, make hotel reservations or book package holidays and tours.",,Y,EH,Lynn Kilpatrick,06/08/2009 00:00,Angela Gannon,06/08/2009 00:00,Copied from EH,1,06/08/2009 14:32,ANGELAG,06/08/2009 14:33,ANGELAG,
501684,ESPLANADE,,,,Y,"A flat open stretch of pavement or grass, usually along the sea front or next to a river, allowing people to promenade.",,Y,RCAHMS,,,,,,1,12/04/2007 11:54,SUSANC,19/09/2007 10:19,ANGELAG,
501685,LIGHTHOUSE SHORE STATION,,,,Y,"Buildings and structures associated with a lighthouse, often including domestic accommodation.",,Y,RCAHMS,,,,,,1,12/04/2007 11:56,SUSANC,19/09/2007 11:01,ANGELAG,
501689,WINDBREAK,,,,Y,"A barrier which provides shelter from the force of the wind. This may be in the form of trees or shrubs, or a wall.",,Y,RCAHMS,,,,,,1,12/04/2007 12:12,SUSANC,19/09/2007 14:36,ANGELAG,
501694,CANAL WORKERS COTTAGE,,,,Y,The residence of a canal worker.,,Y,EH,,,,,,1,12/04/2007 12:41,SUSANC,27/09/2007 08:46,ANGELAG,
501695,KINGSHOUSE,,,,Y,An inn established in the 18th century to service military roads.,,Y,RCAHMS,,,,,,1,12/04/2007 12:49,SUSANC,27/09/2007 09:00,ANGELAG,
501696,WOOL BARN,,,,Y,A building used for the storage and drying of wool.,,Y,RCAHMS,,,,,,1,12/04/2007 12:51,SUSANC,27/09/2007 10:18,ANGELAG,
503740,MOUNTAIN RESCUE CENTRE,,,,Y,Headquarters for mountain rescue team.,,Y,RCAHMS,Kathryn Chilcott,17/11/2008 00:00,Leanne McCafferty/Angela Gannon,18/11/2008 00:00,,1,18/11/2008 15:01,LEANNEM,18/11/2008 15:03,LEANNEM,
505381,ANIMAL WASH,,,,Y,A place or building where animals can be washed. Often in the form of a pool with a walled funnel-like structure enabling animals to be guided into the pool.,,Y,EH,,,,,,1,25/08/2010 13:50,ANGELAG,25/08/2010 13:52,ANGELAG,
505382,SHEEP WASH,,,,N,Non-preferred term. Use SHEEP DIP.,,N,RCAHMS,,,,,,1,25/08/2010 14:07,ANGELAG,25/08/2010 14:09,ANGELAG,
505383,FIELD DRAIN,,,,Y,"An unsocketed wooden, earthenware or porous concrete pipe laid end to end unjointed so as to drain the ground.",,Y,EH,,,,,Added ARG 25 August 2010 for SRP projects.,1,25/08/2010 14:41,ANGELAG,25/08/2010 14:44,ANGELAG,
505384,LAIRAGE,,,,Y,"Accommodation for livestock, especially at docks, while awaiting transportation to market or abattoir.",,Y,RCAHMS,,,,,Added ARG 25 August 2010,1,25/08/2010 15:21,ANGELAG,25/08/2010 15:26,ANGELAG,
503805,ORNAMENTAL LAKE,,,,Y,"An artificial lake, often made by damming a stream. A common feature of landscape parks.",,Y,EH,,,,,Added ARG 17/12/08,1,17/12/2008 11:23,ANGELAG,17/12/2008 11:24,ANGELAG,
505681,FOUR IN A BLOCK,,,,Y,"A block of four flats, two on the ground floor and two on the first floor. Usually built by a local authority in the inter-war years.",,Y,RCAHMS,Lynn Kilpatrick,09/03/2011 00:00,Angela R Gannon,10/03/2011 00:00,,1,10/03/2011 08:26,ANGELAG,10/03/2011 08:39,ANGELAG,
503015,MULTI STOREY CAR PARK,,,,Y,"A car park, on two or more levels.",,Y,EH,,,,,,1,05/12/2007 08:31,ANGELAG,05/12/2007 08:32,ANGELAG,
503016,CAR PARK,,,,Y,A place where cars and other road vehicles may be parked and left.,,Y,EH,,,,,,1,05/12/2007 09:40,ANGELAG,05/12/2007 09:40,ANGELAG,
503017,MOUNTING BLOCK,,,,Y,A block for mounting a horse.,,Y,EH,,,,,,1,14/12/2007 14:02,LEANNEM,14/12/2007 14:02,LEANNEM,
503037,TOWER BLOCK,,,,Y,"A tall, multi storeyed building either used as business premises or, more usually, as residential accommodation.",,Y,EH,,,,,,1,14/12/2007 14:46,ANGELAG,14/12/2007 14:46,ANGELAG,
503121,FLAT,,,,Y,A dwelling of one or more rooms within a building.,,Y,RCAHMS,,,,,,1,07/01/2008 11:38,ANGELAG,07/01/2008 12:05,ANGELAG,
503141,CRAFT SHOP,,,,Y,"A building or room where handmade goods and products, often made locally, are displayed and sold.",,Y,RCAHMS,,,,,,1,10/01/2008 08:19,ANGELAG,10/01/2008 08:20,ANGELAG,
500639,POST BOX,,,,Y,A box in which letters are posted or deposited for dispatch.,,Y,EH,,,,,,1,30/10/2006 10:30,LEANNEM,22/01/2008 12:17,SUSANC,
503161,GAMBLING SITE,,,,Y,Buildings where gambling takes place.,,Y,EH,,,,,,1,29/01/2008 12:03,LEANNEM,29/01/2008 12:03,LEANNEM,
503162,BINGO HALL,,,,Y,A place where the popular gambling game of bingo is played.,,Y,EH,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 12:04,LEANNEM,29/01/2008 12:05,LEANNEM,
503163,CASINO,,,,Y,A public music or dancing establishment often with facilities for gambling.,,Y,EH,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 12:11,LEANNEM,29/01/2008 12:12,LEANNEM,
503164,SHELTERED HOUSING,,,,Y,"Accommodation designed for the elderly, disabled, etc, as individual units.",,Y,EH/RCAHMS,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,EH use SHELTERED ACCOMMODATION.,1,29/01/2008 12:13,LEANNEM,29/01/2008 12:14,LEANNEM,
503165,BOD,,,,Y,Non-preferred term. Use FISHING BOTHY. Regional term from Shetland.,,N,RCAHMS,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 12:18,LEANNEM,29/01/2008 12:19,LEANNEM,
503166,CHAPLAINCY,,,,Y,"A freestanding building or a room serving as a place of worship, congregation or contemplation, often of no particular religious denomination.",,Y,EH/RCAHMS,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,Scope note has been adapted from EH for RCAHMS purposes.,1,29/01/2008 12:20,LEANNEM,29/01/2008 12:27,LEANNEM,
505841,BERRY PICKERS CAMP,,,,Y,"A purpose-built site providing accommodation for seasonal soft fruit workers, typically comprising separate dormitory, kitchen and dining wings.",,Y,RCAHMS,Ishbel Mackinnon,20/05/2011 00:00,Leanne McCafferty,23/05/2011 00:00,,1,23/05/2011 10:21,LEANNEM,23/05/2011 10:21,LEANNEM,
503803,POTATO MILL,,,,Y,A mill where potatoes are turned into flour for human consumption.,,Y,RCAHMS,,,,,Added ARG 17/12/08 from SRP project.,1,17/12/2008 10:25,ANGELAG,17/12/2008 10:26,ANGELAG,
503804,FARINA MILL,,,,Y,A mill where farina is produced for human consumption.,,Y,RCAHMS,,,,,Added ARG 17/12/08 from SRP project.,1,17/12/2008 10:30,ANGELAG,17/12/2008 10:32,ANGELAG,
504129,PLASH MILL,,,,Y,Non-preferred term. Use FULLING MILL,,N,,,,,,,1,09/04/2009 14:45,LEANNEM,09/04/2009 14:46,LEANNEM,
504493,VELODROME,,,,Y,A sports arena with a steeply banked oval track for bicycle racing. There are outdoor as well as indoor velodromes.,,Y,EH,,,,,,1,09/07/2009 12:19,LEANNEM,09/07/2009 12:19,LEANNEM,
504494,RACE TRACK,,,,Y,A piece of ground on which athletes race.,,Y,EH,,,,,,1,09/07/2009 12:20,LEANNEM,09/07/2009 12:20,LEANNEM,
504445,FISHMONGERS SHOP,,,,Y,A shop where fish is sold.,,Y,EH,Lynn Kilpatrick,01/07/2009 00:00,Leanne McCafferty,01/07/2009 00:00,,1,01/07/2009 11:59,LEANNEM,01/07/2009 12:01,LEANNEM,
504446,FISHMONGERS,,,,Y,Non-preferred term. Use FISHMONGERS SHOP,,N,,,,,,,1,01/07/2009 12:01,LEANNEM,01/07/2009 12:01,LEANNEM,
504447,BUTCHERS SHOP,,,,Y,A shop specifically for butchering and selling of meat products.,,Y,EH,Lynn Kilpatrick,01/07/2009 00:00,Leanne McCafferty,01/07/2009 00:00,RCAHMS scope note.,1,01/07/2009 12:03,LEANNEM,23/07/2009 11:44,ANGELAG,
504448,BUTCHERS,,,,Y,Non-preferred term. Use BUTCHERS SHOP,,N,,,,,,,1,01/07/2009 12:04,LEANNEM,01/07/2009 12:04,LEANNEM,
504449,PHARMACY,,,,Y,"A building where the study and practice of preparing, preserving, compounding and dispensing drugs is performed.",,Y,EH,Lynn Kilpatrick,01/07/2009 00:00,Leanne McCafferty,01/07/2009 00:00,,1,01/07/2009 16:14,LEANNEM,01/07/2009 16:14,LEANNEM,
504560,HARDWARE SHOP,,,,Y,"A shop selling ironmonger's goods, household tools and utensils.",,Y,EH,Lynn Kilpatrick,21/07/2009 00:00,Leanne McCafferty,21/07/2009 00:00,,1,21/07/2009 11:57,LEANNEM,21/07/2009 11:58,LEANNEM,
504561,COUNCIL HOUSE,,,,Y,A house originally built by a local authority. Some are now owned privately.,,Y,EH,Lynn Kilpatrick,21/07/2009 00:00,Leanne McCafferty,21/07/2009 00:00,,1,21/07/2009 11:58,LEANNEM,23/07/2009 15:49,ANGELAG,
504981,MORTAR,,,,Y,Non-preferred term. Use KNOCKING STONE.,,N,,,,,,,1,09/06/2010 12:17,LEANNEM,09/06/2010 12:17,LEANNEM,
504982,MORTAR STONE,,,,Y,Non-preferred term. Use KNOCKING STONE.,,N,,,,,,,1,09/06/2010 12:18,LEANNEM,09/06/2010 12:18,LEANNEM,
506141,GARDEN SEAT,,,,Y,"A bench-like structure, often with a back, generally made of wood, cast iron or stone.",,Y,RCAHMS,Miriam McDonald,10/10/2011 00:00,Leanne McCafferty/Angela Gannon,13/10/2011 00:00,,1,13/10/2011 14:31,LEANNEM,13/10/2011 14:32,LEANNEM,
503167,CLERGY HOUSE,,,,Y,A residence for all clergy having the sole or subordinate charge of a living,,Y,EH,,,,,,1,29/01/2008 12:28,LEANNEM,29/01/2008 12:28,LEANNEM,
503168,HEALTH WORKERS HOUSE,,,,Y,"Self-contained house for health workers, usually part of, or adjacent to a healthcare site.",,Y,EH/RCAHMS,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 12:47,LEANNEM,29/01/2008 12:48,LEANNEM,
503169,NURSES HOME,,,,Y,A building where nurses live.,,Y,EH/RCAHMS,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,EH use NURSES HOSTEL,1,29/01/2008 12:49,LEANNEM,29/01/2008 12:50,LEANNEM,
503170,NURSES HOSTEL,,,,Y,Non-preferred term. Use NURSES HOME.,,N,EH,,,,,EH have this as a preferred term.,1,29/01/2008 12:51,LEANNEM,29/01/2008 12:52,LEANNEM,
503171,HEALTH CENTRE,,,,Y,"An institution, sometimes attached to a hospital, where patients may receive treatment or health checks.",,Y,RCAHMS,Tom Parnell,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,EH prefer CLINIC but this is a non-preferred term at RCAHMS. The EH scope note for clinic has been used.,1,29/01/2008 12:52,LEANNEM,29/01/2008 12:54,LEANNEM,
503172,OFFICERS QUARTERS,,,,Y,A building where military officers are accommodated.,,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 15:06,LEANNEM,29/01/2008 15:07,LEANNEM,
503173,MILITARY RESIDENCE,,,,Y,A residence for military personnel.,,Y,EH,,,,,,1,29/01/2008 15:07,LEANNEM,29/01/2008 15:08,LEANNEM,
503174,GAMEKEEPERS HOUSE,,,,Y,A house on an estate in which a gamekeeper resides.,,Y,RCAHMS,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 15:21,LEANNEM,29/01/2008 15:22,LEANNEM,
503175,GARDEN SHED,,,,Y,"A structure in a garden used to house gardening implements, etc.",,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 15:25,LEANNEM,29/01/2008 15:25,LEANNEM,
503176,POTTING SHED,,,,Y,A shed in which delicate plants are reared from seedlings for planting out later.,,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,29/01/2008 15:28,LEANNEM,29/01/2008 15:31,LEANNEM,
503177,BALLROOM,,,,Y,A room or building suitable for music and dancing.,,Y,EH/RCAHMS,Susan Casey,,Thesaurus Management Group,,Scope note has been adapted for RCAHMS.,1,29/01/2008 15:32,LEANNEM,29/01/2008 15:34,LEANNEM,
503178,PERGOLA,,,,Y,Timber or metal structure consisting of upright and cross members designed to support climbing plants.,,Y,EH,,,,,,1,29/01/2008 15:36,LEANNEM,29/01/2008 15:36,LEANNEM,
503179,RIGGING WORKS,,,,Y,A works for the production and repair of ships' rigging.,,Y,RCAHMS,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 09:19,LEANNEM,30/01/2008 09:20,LEANNEM,
503180,MEWS,,,,Y,"Traditionally a mew was a building housing hawks when they were moulting, however since the C16th the term has been used for a series of stables grouped around an open yard or alley, often with rooms above. Use only for stables otherwise use FALCONRY.",,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 09:27,LEANNEM,30/01/2008 09:28,LEANNEM,
503181,MULTIPLE DWELLING,,,,Y,"Buildings designed for the accommodation of large numbers of people, rather than single families, etc.",,Y,EH,,,,,,1,30/01/2008 09:29,LEANNEM,30/01/2008 09:29,LEANNEM,
503182,COLONY HOUSING,,,,Y,"Two-storied terraces of upper and lower flats, each with access to its own front door and garden. Built in cities from the mid-19th century.",,Y,RCAHMS,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 09:40,LEANNEM,30/01/2008 10:02,LEANNEM,
503183,MESS,,,,Y,A military dining room where members of the armed forces eat and take recreation.,,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 10:03,LEANNEM,30/01/2008 10:04,LEANNEM,
503184,COMB WORKS,,,,Y,A building or site used for the manufacture of combs.,,Y,RCAHMS,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 10:04,LEANNEM,30/01/2008 10:21,LEANNEM,
503185,HEMP MILL,,,,Y,"A factory where hemp, the woody stalk of the hemp plant, used for the making of coarse cloth and cordage, was processed.",,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 10:21,LEANNEM,30/01/2008 10:23,LEANNEM,
503186,CHANGING FACILITY,,,,Y,"A building within a complex, such as a leisure centre, school, industrial site etc, often containing toilet and washing facilities, where individuals can change their clothes.",,Y,EH/RCAHMS,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,EH use CHANGING ROOMS,1,30/01/2008 10:27,LEANNEM,30/01/2008 10:32,LEANNEM,
503187,INSTRUMENT ENGINEERING WORKS,,,,Y,A site where scientific and technical instruments such as microscopes are assembled.,,Y,EH,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 10:34,LEANNEM,30/01/2008 10:35,LEANNEM,
503188,MILITARY HOUSING,,,,Y,Dwellings for members of the armed forces. This includes family homes outside a military base.,,Y,RCAHMS,Susan Casey,29/01/2008 00:00,Thesaurus Management Group,29/01/2008 00:00,,1,30/01/2008 10:38,LEANNEM,30/01/2008 11:11,LEANNEM,
502242,ESTATE COTTAGE,,,,Y,A cottage for workers on a country house estate.,,Y,EH,,,,,,1,18/05/2007 09:30,LEANNEM,31/01/2008 11:31,SUSANC,
503940,BARKING POT,,,,Y,A pot used for 'barking' or preserving fishing nets.,,Y,RCAHMS,Leanne McCafferty,06/02/2009 00:00,Leanne McCafferty,06/02/2009 00:00,Added to the monuments thesaurus rather than the objects as the examples in the database are pots within their own structures.,1,06/02/2009 12:05,LEANNEM,05/04/2012 12:17,RC_ADMIN,
503941,NET BOILER,,,,Y,Non-preferred term. Use BARKING POT.,,N,,,,,,,1,06/02/2009 12:16,LEANNEM,24/07/2009 12:50,ANGELAG,
503942,NET BOILING TUB,,,,Y,Non-preferred term. Use BARKING POT.,,N,,,,,,,1,06/02/2009 12:17,LEANNEM,24/07/2009 12:50,ANGELAG,
503943,BARKER,,,,Y,Non-preferred term. Use BARKING POT.,,N,,,,,,,1,06/02/2009 12:19,LEANNEM,24/07/2009 12:39,ANGELAG,
504181,OIL RIG,,,,Y,A supporting structure for drilling machinery used in the extraction of or prospecting for mineral oils.,,Y,EH,,,,,,1,24/04/2009 10:05,LEANNEM,24/04/2009 10:08,LEANNEM,
504182,DOCK GATE,,,,Y,A gate used to seal the entrance to a dock to prevent water escaping from a wet dock or entering a dry dock.,,Y,EH,,,,,,1,24/04/2009 11:57,LEANNEM,24/04/2009 11:57,LEANNEM,
504183,REST HOME,,,,Y,None preferred term. Use NURSING HOME and CONVALESCENT HOME.,,,,,,,,,,,,,,
"#N""",,,,,,,,,,,1,24/04/2009 14:13,LEANNEM,24/04/2009 14:13,LEANNEM,,,,,
504184,WORKING MENS INSTITUTE,,,,Y,"A place where working men could educate themselves through lectures and the use of a reading room with newspapers, etc.",,Y,EH,,,,,,1,24/04/2009 16:09,LEANNEM,24/04/2009 16:09,LEANNEM,
504185,HAIRDRESSERS SALON,,,,Y,An establishment where people get their hair dressed and cut.,,Y,EH,,,,,,1,24/04/2009 16:13,LEANNEM,24/04/2009 16:13,LEANNEM,
504186,HAIRDRESSERS,,,,Y,Non-preferred term. Use HAIRDRESSERS SALON,,N,,,,,,,1,24/04/2009 16:13,LEANNEM,24/04/2009 16:14,LEANNEM,
504720,SCULPTURE GARDEN,,,,Y,"A garden designed to display sculpture, publicly or privately.",,Y,EH,Peter McKeague,,Leanne McCafferty,,,1,08/02/2010 16:53,LEANNEM,08/02/2010 16:55,LEANNEM,
505621,KALE YARD,,,,Y,"A stone-walled enclosure primarily for growing kale, often characterised by a build-up of soil in the interior.",,Y,RCAHMS,John Sherriff,07/12/2010 00:00,Leanne McCafferty,08/12/2010 00:00,,1,08/12/2010 11:28,LEANNEM,15/12/2010 15:16,ANGELAG,
505622,KAILYARD,,,,Y,Non-preferred term. Use KALE YARD.,,N,,,,,,,1,08/12/2010 11:31,LEANNEM,08/12/2010 11:33,LEANNEM,
505623,KAIL YARD,,,,Y,Non-preferred term. Use KALE YARD.,,N,,,,,,,1,08/12/2010 11:33,LEANNEM,08/12/2010 11:34,LEANNEM,
505624,KALEYARD,,,,Y,Non-preferred term. Use KALE YARD.,,N,,,,,,,1,08/12/2010 11:34,LEANNEM,08/12/2010 11:34,LEANNEM,
